title,console,genre,publisher,critic_score,us_sales,jp_sales,eu_sales,other_sales,total_sales
Grand Theft Auto V,PS3,Action,Rockstar Games,9.4,6.37,0.99,9.85,3.12,20.32
Grand Theft Auto V,PS4,Action,Rockstar Games,9.7,6.06,0.6,9.71,3.02,19.39
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,9.6,8.41,0.47,5.49,1.78,16.15
Grand Theft Auto V,X360,Action,Rockstar Games,,9.06,0.06,5.33,1.42,15.86
Call of Duty: Black Ops 3,PS4,Shooter,Activision,8.1,6.18,0.41,6.05,2.44,15.09
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,8.7,9.07,0.13,4.29,1.33,14.82
Call of Duty: Black Ops,X360,Shooter,Activision,8.8,9.76,0.11,3.73,1.14,14.74
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,9.8,5.26,0.21,6.21,2.26,13.94
Call of Duty: Black Ops II,X360,Shooter,Activision,8.4,8.27,0.07,4.32,1.2,13.86
Call of Duty: Black Ops II,PS3,Shooter,Activision,8,4.99,0.65,5.88,2.28,13.8
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,9.5,8.54,0.08,3.63,1.28,13.53
Call of Duty: WWII,PS4,Shooter,Activision,8.1,4.67,0.4,6.21,2.12,13.4
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,8.8,5.54,0.49,5.78,1.54,13.35
Grand Theft Auto III,PS2,Action,Rockstar Games,9.5,6.99,0.3,4.51,1.3,13.1
Call of Duty: Black Ops,PS3,Shooter,Activision,8.7,6.01,0.48,4.4,1.78,12.67
FIFA 18,PS4,Sports,EA Sports,8.3,1.27,0.15,8.64,1.73,11.8
Grand Theft Auto IV,X360,Action,Rockstar Games,10,6.8,0.14,3.11,1.04,11.09
FIFA 17,PS4,Sports,Electronic Arts,8.9,1.26,0.12,7.95,1.61,10.94
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,9.5,4.99,0.38,3.66,1.59,10.61
